symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC260116P00065000,0.9005,-0.9219,0.0119,-0.0713,-0.0148,0.0198,26.67,22,Z,23.43,22,Z, ,2025-12-05T14:45:03.142548886Z,2026-01-16,65000,15.0,15.0,15.0,1.0,15.0,2025-07-11T04:00:00Z,9.0,15.0,I,15.0,9.0,2025-07-11T14:59:07.066672086Z,I,15.0,15.0,15.0,1.0,15.0,2025-07-11T14:59:00Z,9.0,15.0,17.98,17.98,17.93,4.0,17.93,2025-07-07T04:00:00Z,9.0,17.974444
BTC260320C00064000,,,,,,,0.73,10,B,0.0,0,?,A,2025-12-05T14:30:48.886484433Z,2026-03-20,64000,0.2,0.2,0.2,1.0,0.2,2025-12-01T05:00:00Z,3.0,0.2,I,0.22,3.0,2025-12-01T14:49:40.407302121Z,T,0.2,0.2,0.2,1.0,0.2,2025-12-01T14:49:00Z,3.0,0.2,0.57,0.57,0.57,1.0,0.57,2025-11-17T05:00:00Z,3.0,0.57
BTC251219P00053000,1.2119,-0.8544,0.024,-0.0183,-0.0726,0.0179,15.01,37,A,12.02,25,U,A,2025-12-05T14:46:56.807554833Z,2025-12-19,53000,15.05,15.05,15.05,1.0,15.05,2025-11-24T05:00:00Z,9.0,15.05,g,15.05,9.0,2025-11-24T16:25:03.604761394Z,A,15.05,15.05,15.05,1.0,15.05,2025-11-24T16:25:00Z,9.0,15.05,5.95,5.95,5.95,1.0,5.95,2025-10-15T04:00:00Z,1.0,5.95
BTC270115C00030000,0.5843,0.7992,0.0114,0.1889,-0.0101,0.1185,16.71,40,A,13.34,41,A,A,2025-12-05T14:46:32.880391677Z,2027-01-15,30000,15.5,15.5,15.5,1.0,15.5,2025-12-03T05:00:00Z,1.0,15.5,I,15.5,1.0,2025-12-03T16:56:26.554957092Z,A,15.5,15.5,15.5,1.0,15.5,2025-12-03T16:56:00Z,1.0,15.5,14.86,14.86,14.86,1.0,14.86,2025-12-02T05:00:00Z,1.0,14.86
BTC260320C00059000,0.5219,0.114,0.0172,0.0115,-0.0107,0.0414,0.93,31,B,0.18,31,B, ,2025-12-05T14:45:03.142543661Z,2026-03-20,59000,0.67,0.67,0.67,1.0,0.67,2025-11-24T05:00:00Z,1.0,0.67,g,0.67,1.0,2025-11-24T15:09:42.693354639Z,C,0.67,0.67,0.67,1.0,0.67,2025-11-24T15:09:00Z,1.0,0.67,3.3,3.3,3.3,1.0,3.3,2025-10-16T04:00:00Z,1.0,3.3
BTC260320P00046000,0.4829,-0.642,0.036,-0.096,-0.015,0.0802,8.53,453,X,6.79,513,A, ,2025-12-05T14:47:00.792326387Z,2026-03-20,46000,8.33,8.33,8.33,1.0,8.33,2025-12-02T05:00:00Z,3.0,8.33,g,8.33,3.0,2025-12-02T14:32:35.063554884Z,C,8.33,8.33,8.33,1.0,8.33,2025-12-02T14:32:00Z,3.0,8.33,7.95,7.95,7.95,1.0,7.95,2025-11-19T05:00:00Z,1.0,7.95
BTC260116P00053000,0.5262,-0.9273,0.0193,-0.0576,-0.0066,0.0188,14.09,34,U,11.78,34,U,A,2025-12-05T14:30:56.227374073Z,2026-01-16,53000,5.55,5.55,4.9,3.0,4.9,2025-10-27T04:00:00Z,6.0,5.341667,a,5.55,1.0,2025-10-27T14:25:37.495680773Z,A,5.55,5.55,5.55,1.0,5.55,2025-10-27T14:25:00Z,1.0,5.55,6.95,6.95,6.95,1.0,6.95,2025-10-20T04:00:00Z,5.0,6.95
BTC280121P00080000,0.5939,-0.6123,0.011,-1.3906,-0.0027,0.2238,42.23,5,U,39.38,7,A, ,2025-12-05T14:40:02.999584049Z,2028-01-21,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00035000,0.5438,-0.1986,0.0377,-0.0102,-0.0236,0.0379,1.02,39,A,0.77,80,B,A,2025-12-05T14:46:55.633708316Z,2026-01-16,35000,0.72,0.75,0.7,6.0,0.75,2025-12-04T05:00:00Z,13.0,0.710769,a,0.72,4.0,2025-12-04T19:45:49.581355969Z,X,0.72,0.72,0.72,1.0,0.72,2025-12-04T19:45:00Z,4.0,0.72,0.74,0.82,0.65,5.0,0.77,2025-12-03T05:00:00Z,5.0,0.75
BTC260320C00043000,0.4913,0.4612,0.0376,0.0439,-0.0215,0.0853,3.75,348,X,2.64,265,A,A,2025-12-05T14:46:41.93864566Z,2026-03-20,43000,2.75,2.75,2.75,1.0,2.75,2025-12-02T05:00:00Z,1.0,2.75,a,2.75,1.0,2025-12-02T15:37:33.945407907Z,A,2.75,2.75,2.75,1.0,2.75,2025-12-02T15:37:00Z,1.0,2.75,3.6,4.0,3.6,2.0,4.0,2025-11-28T05:00:00Z,7.0,3.885714
BTC251219C00044000,0.5005,0.1852,0.0681,0.0027,-0.0382,0.021,0.73,332,A,0.03,140,A,A,2025-12-05T14:46:48.612617812Z,2025-12-19,44000,0.35,0.59,0.35,7.0,0.5,2025-12-04T05:00:00Z,15.0,0.507333,I,0.38,1.0,2025-12-04T19:45:35.717968699Z,X,0.35,0.35,0.35,1.0,0.35,2025-12-04T19:45:00Z,1.0,0.35,0.6,0.75,0.6,10.0,0.62,2025-12-03T05:00:00Z,11.0,0.66
BTC260320P00058000,0.5564,-0.8545,0.0191,-0.1506,-0.0077,0.0491,19.58,48,B,16.66,48,B,A,2025-12-05T14:45:12.578797052Z,2026-03-20,58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00066000,0.5573,-0.6884,0.015,-0.6076,-0.0051,0.1494,28.92,11,M,25.19,12,T,A,2025-12-05T14:45:17.713906075Z,2027-01-15,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219P00058000,,,,,,,18.84,36,U,16.67,33,A, ,2025-12-05T14:45:03.141607779Z,2025-12-19,58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320P00042000,0.4669,-0.5087,0.0398,-0.0726,-0.0165,0.0857,5.46,205,X,4.26,371,A,A,2025-12-05T14:46:43.830714615Z,2026-03-20,42000,5.8,6.3,5.8,2.0,6.3,2025-11-24T05:00:00Z,2.0,6.05,I,5.88,1.0,2025-11-24T20:26:11.312992469Z,X,5.8,5.8,5.8,1.0,5.8,2025-11-24T20:26:00Z,1.0,5.8,7.16,7.16,7.16,1.0,7.16,2025-11-21T05:00:00Z,1.0,7.16
BTC251219P00061000,,,,,,,21.83,33,U,19.74,33,U, ,2025-12-05T14:45:03.141607779Z,2025-12-19,61000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618P00045000,0.4818,-0.5397,0.0281,-0.159,-0.0114,0.1162,8.86,127,B,7.43,182,A,A,2025-12-05T14:46:53.940381973Z,2026-06-18,45000,9.5,9.5,9.5,1.0,9.5,2025-11-26T05:00:00Z,8.0,9.5,f,9.5,8.0,2025-11-26T17:46:56.403172211Z,A,9.5,9.5,9.5,1.0,9.5,2025-11-26T17:46:00Z,8.0,9.5,10.42,10.42,10.42,1.0,10.42,2025-11-21T05:00:00Z,1.0,10.42
BTC251219C00042000,0.5137,0.3418,0.0911,0.0049,-0.0542,0.0288,1.12,136,A,0.62,86,B,A,2025-12-05T14:46:54.87411395Z,2025-12-19,42000,1.05,1.25,1.02,13.0,1.15,2025-12-04T05:00:00Z,211.0,1.057678,I,1.05,56.0,2025-12-04T20:50:01.470877523Z,J,1.05,1.05,1.05,3.0,1.05,2025-12-04T20:50:00Z,183.0,1.05,1.33,1.5,0.95,23.0,0.95,2025-12-03T05:00:00Z,104.0,1.288558
BTC270115P00044000,0.5132,-0.4337,0.0181,-0.3043,-0.0079,0.1662,11.37,23,A,8.61,26,A,A,2025-12-05T14:46:40.713089696Z,2027-01-15,44000,6.4,6.4,6.4,1.0,6.4,2025-09-30T04:00:00Z,2.0,6.4,I,6.57,2.0,2025-09-30T17:40:27.219148544Z,I,6.4,6.4,6.4,1.0,6.4,2025-09-30T17:40:00Z,2.0,6.4,,,,,,,,
BTC251219P00080000,,,,,,,41.94,42,B,38.23,42,B, ,2025-12-05T14:45:03.141872273Z,2025-12-19,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00068000,,,,,,,29.98,22,Z,26.08,22,Z, ,2025-12-05T14:45:03.142629722Z,2026-01-16,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121C00056000,0.5664,0.5365,0.012,0.2572,-0.0095,0.2321,11.14,37,A,7.67,30,A,A,2025-12-05T14:46:41.661807251Z,2028-01-21,56000,10.15,10.15,10.1,2.0,10.1,2025-11-17T05:00:00Z,3.0,10.133333,I,10.15,2.0,2025-11-17T18:02:11.01919209Z,Q,10.15,10.15,10.15,1.0,10.15,2025-11-17T18:02:00Z,2.0,10.15,,,,,,,,
BTC251219C00070000,,,,,,,0.62,355,A,0.0,0,?,A,2025-12-05T14:34:02.341463004Z,2025-12-19,70000,0.3,0.3,0.3,1.0,0.3,2025-10-30T04:00:00Z,48.0,0.3,I,0.3,48.0,2025-10-30T13:30:28.504862548Z,U,0.3,0.3,0.3,1.0,0.3,2025-10-30T13:30:00Z,48.0,0.3,1.06,1.06,1.06,1.0,1.06,2025-10-06T04:00:00Z,3.0,1.06
BTC251219P00049000,0.556,-0.9628,0.0186,-0.0182,-0.0076,0.0064,9.61,36,U,8.27,34,A, ,2025-12-05T14:45:03.141536378Z,2025-12-19,49000,9.75,9.75,9.75,1.0,9.75,2025-12-02T05:00:00Z,1.0,9.75,g,9.75,1.0,2025-12-02T14:32:15.323849771Z,A,9.75,9.75,9.75,1.0,9.75,2025-12-02T14:32:00Z,1.0,9.75,8.08,8.08,8.08,1.0,8.08,2025-11-28T05:00:00Z,4.0,8.08
BTC251219P00056000,,,,,,,17.46,36,U,14.65,34,A, ,2025-12-05T14:45:03.141571904Z,2025-12-19,56000,5.3,5.3,5.3,1.0,5.3,2025-10-09T04:00:00Z,3.0,5.3,I,5.32,3.0,2025-10-09T16:30:11.021162115Z,E,5.3,5.3,5.3,1.0,5.3,2025-10-09T16:30:00Z,3.0,5.3,4.7,4.7,4.7,1.0,4.7,2025-10-06T04:00:00Z,3.0,4.7
BTC251219C00061000,,,,,,,0.73,366,A,0.0,0,?,A,2025-12-05T14:34:02.341482854Z,2025-12-19,61000,1.2,1.2,1.2,1.0,1.2,2025-10-23T04:00:00Z,10.0,1.2,I,1.03,10.0,2025-10-23T19:22:16.022192992Z,B,1.2,1.2,1.2,1.0,1.2,2025-10-23T19:22:00Z,10.0,1.2,1.1,1.1,1.05,2.0,1.05,2025-10-20T04:00:00Z,2.0,1.075
BTC251219C00053000,,,,,,,0.52,514,A,0.0,0,?,A,2025-12-05T14:34:47.73686964Z,2025-12-19,53000,0.05,0.05,0.05,1.0,0.05,2025-12-04T05:00:00Z,1.0,0.05,I,0.05,1.0,2025-12-04T15:30:57.184064938Z,I,0.05,0.05,0.05,1.0,0.05,2025-12-04T15:30:00Z,1.0,0.05,0.26,0.26,0.26,1.0,0.26,2025-12-01T05:00:00Z,3.0,0.26
BTC260320P00066000,0.6361,-0.8966,0.0132,-0.1776,-0.0054,0.0386,27.36,33,B,24.31,35,A,A,2025-12-05T14:46:54.601535759Z,2026-03-20,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00051000,0.5613,-0.4211,0.0119,-0.7417,-0.0051,0.2285,19.89,17,A,16.07,18,A,A,2025-12-05T14:46:59.352748908Z,2028-01-21,51000,12.55,12.55,12.55,2.0,12.55,2025-09-22T04:00:00Z,20.0,12.55,f,12.55,10.0,2025-09-22T19:01:37.008018842Z,M,12.55,12.55,12.55,2.0,12.55,2025-09-22T19:01:00Z,20.0,12.55,11.94,11.94,11.94,1.0,11.94,2025-09-16T04:00:00Z,1.0,11.94
BTC280121C00061000,0.5718,0.4984,0.0119,0.2434,-0.0096,0.2331,10.29,36,A,6.76,30,A,A,2025-12-05T14:46:31.691085816Z,2028-01-21,61000,9.25,9.25,9.25,1.0,9.25,2025-11-14T05:00:00Z,3.0,9.25,a,9.25,3.0,2025-11-14T20:59:34.356361944Z,X,9.25,9.25,9.25,1.0,9.25,2025-11-14T20:59:00Z,3.0,9.25,,,,,,,,
BTC280121C00054000,0.5785,0.5597,0.0117,0.2616,-0.0097,0.2305,11.9,84,A,8.36,53,S,A,2025-12-05T14:46:54.360218427Z,2028-01-21,54000,14.0,14.0,14.0,1.0,14.0,2025-10-16T04:00:00Z,8.0,14.0,e,14.0,8.0,2025-10-16T19:54:12.418494959Z,B,14.0,14.0,14.0,1.0,14.0,2025-10-16T19:54:00Z,8.0,14.0,18.9,18.9,18.9,2.0,18.9,2025-10-09T04:00:00Z,10.0,18.9
BTC260320C00054000,0.5063,0.1774,0.0239,0.0178,-0.0141,0.0559,1.28,23,B,0.57,38,A, ,2025-12-05T14:45:03.142543661Z,2026-03-20,54000,0.75,0.8,0.75,2.0,0.8,2025-12-01T05:00:00Z,7.0,0.785714,I,0.75,2.0,2025-12-01T19:44:10.982755624Z,U,0.75,0.75,0.75,1.0,0.75,2025-12-01T19:44:00Z,2.0,0.75,1.23,1.45,1.23,3.0,1.45,2025-11-26T05:00:00Z,9.0,1.36
BTC260320C00037000,0.4985,0.6808,0.0334,0.0611,-0.0204,0.0767,6.78,473,A,5.27,523,A,A,2025-12-05T14:47:01.474591901Z,2026-03-20,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219C00075000,,,,,,,0.77,346,A,0.0,0,?,A,2025-12-05T14:34:02.346008736Z,2025-12-19,75000,0.2,0.2,0.2,1.0,0.2,2025-11-13T05:00:00Z,1.0,0.2,I,0.18,1.0,2025-11-13T18:52:10.333268615Z,P,0.2,0.2,0.2,1.0,0.2,2025-11-13T18:52:00Z,1.0,0.2,0.21,0.21,0.21,1.0,0.21,2025-10-30T04:00:00Z,5.0,0.21
BTC270115P00071000,0.6038,-0.6988,0.0137,-0.6664,-0.0053,0.1471,33.33,12,T,30.52,12,T,A,2025-12-05T14:45:13.413411131Z,2027-01-15,71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219P00030000,,,,,,,0.17,5,I,0.0,0,?, ,2025-12-05T14:45:03.606184263Z,2025-12-19,30000,0.13,0.13,0.1,3.0,0.1,2025-12-02T05:00:00Z,3.0,0.11,g,0.13,1.0,2025-12-02T19:04:00.880606737Z,C,0.13,0.13,0.13,1.0,0.13,2025-12-02T19:04:00Z,1.0,0.13,0.15,0.2,0.12,7.0,0.12,2025-12-01T05:00:00Z,108.0,0.197037
BTC260618P00031000,0.5294,-0.1826,0.0171,-0.0491,-0.0096,0.0775,2.22,22,S,1.52,14,M,A,2025-12-05T14:45:10.062530464Z,2026-06-18,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320P00067000,0.6366,-0.904,0.0125,-0.1812,-0.0047,0.0366,28.17,20,Z,25.38,20,Z, ,2025-12-05T14:45:03.144162859Z,2026-03-20,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00064000,0.5318,-0.6871,0.0158,-0.5844,-0.0049,0.1496,26.45,10,B,23.6,21,A,A,2025-12-05T14:46:49.878165342Z,2027-01-15,64000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219P00067000,,,,,,,27.86,1,X,25.58,1,X, ,2025-12-05T14:30:01.558071176Z,2025-12-19,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00053000,0.5539,-0.443,0.0122,-0.7862,-0.0049,0.2307,20.91,43,A,17.47,31,S,A,2025-12-05T14:46:58.621214397Z,2028-01-21,53000,14.0,14.0,14.0,1.0,14.0,2025-10-10T04:00:00Z,5.0,14.0,g,14.0,5.0,2025-10-10T19:50:02.579381288Z,C,14.0,14.0,14.0,1.0,14.0,2025-10-10T19:50:00Z,5.0,14.0,13.68,13.68,13.68,1.0,13.68,2025-09-19T04:00:00Z,1.0,13.68
BTC270115C00071000,0.5464,0.2613,0.0141,0.0852,-0.01,0.1374,4.23,52,A,1.38,40,A,A,2025-12-05T14:46:32.861155854Z,2027-01-15,71000,2.75,2.75,2.75,1.0,2.75,2025-12-02T05:00:00Z,1.0,2.75,f,2.75,1.0,2025-12-02T17:37:27.68584649Z,J,2.75,2.75,2.75,1.0,2.75,2025-12-02T17:37:00Z,1.0,2.75,6.7,6.7,6.7,1.0,6.7,2025-10-14T04:00:00Z,1.0,6.7
BTC251219P00069000,,,,,,,30.79,1,X,27.11,1,X, ,2025-12-05T14:30:01.540820554Z,2025-12-19,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00072000,0.5737,-0.7271,0.0137,-0.6836,-0.0042,0.1404,33.53,7,T,31.15,12,T, ,2025-12-05T14:45:03.145686524Z,2027-01-15,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115C00033000,0.6037,0.7524,0.0124,0.1831,-0.0115,0.1335,15.7,36,A,11.65,26,S,A,2025-12-05T14:46:49.972269679Z,2027-01-15,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618C00025000,0.6245,0.9037,0.0093,0.105,-0.01,0.05,17.64,343,A,15.45,327,A,A,2025-12-05T14:46:49.359183449Z,2026-06-18,25000,14.9,14.9,14.7,5.0,14.7,2025-11-21T05:00:00Z,6.0,14.85,I,14.88,1.0,2025-11-21T17:17:31.584736499Z,I,14.9,14.9,14.7,5.0,14.7,2025-11-21T17:17:00Z,6.0,14.85,16.5,16.5,16.5,2.0,16.5,2025-11-19T05:00:00Z,2.0,16.5
BTC280121C00049000,0.5918,0.6097,0.0111,0.2718,-0.0097,0.2243,13.46,29,A,9.84,12,T,A,2025-12-05T14:46:45.932777035Z,2028-01-21,49000,17.57,17.57,17.57,1.0,17.57,2025-10-20T04:00:00Z,1.0,17.57,g,17.57,1.0,2025-10-20T16:11:08.70406933Z,C,17.57,17.57,17.57,1.0,17.57,2025-10-20T16:11:00Z,1.0,17.57,15.4,15.41,15.4,6.0,15.4,2025-10-14T04:00:00Z,8.0,15.40125
BTC260618C00041000,0.5184,0.571,0.0259,0.0904,-0.017,0.1149,6.7,172,A,5.2,175,A,A,2025-12-05T14:46:41.137351565Z,2026-06-18,41000,6.75,6.75,6.75,5.0,6.75,2025-11-28T05:00:00Z,103.0,6.75,f,6.75,31.0,2025-11-28T15:54:59.564832017Z,D,6.75,6.75,6.75,4.0,6.75,2025-11-28T15:54:00Z,102.0,6.75,5.44,5.6,5.44,2.0,5.6,2025-11-25T05:00:00Z,2.0,5.52
BTC260116C00064000,,,,,,,0.73,355,A,0.0,0,?,A,2025-12-05T14:34:02.345321095Z,2026-01-16,64000,1.77,1.77,1.65,2.0,1.65,2025-10-13T04:00:00Z,2.0,1.71,f,1.77,1.0,2025-10-13T18:37:55.117590789Z,I,1.77,1.77,1.77,1.0,1.77,2025-10-13T18:37:00Z,1.0,1.77,3.01,3.01,3.01,1.0,3.01,2025-10-06T04:00:00Z,1.0,3.01
BTC260116P00020000,,,,,,,0.73,316,A,0.0,0,?,A,2025-12-05T14:34:02.345615421Z,2026-01-16,20000,0.16,0.16,0.16,1.0,0.16,2025-11-21T05:00:00Z,2.0,0.16,a,0.16,2.0,2025-11-21T20:17:47.500224653Z,J,0.16,0.16,0.16,1.0,0.16,2025-11-21T20:17:00Z,2.0,0.16,0.16,0.16,0.15,3.0,0.15,2025-11-20T05:00:00Z,4.0,0.155
BTC260618C00044000,0.5078,0.4938,0.0268,0.0806,-0.0167,0.1168,5.23,143,A,4.16,59,A,A,2025-12-05T14:46:14.220279961Z,2026-06-18,44000,5.3,5.3,5.0,2.0,5.0,2025-12-02T05:00:00Z,2.0,5.15,I,5.3,1.0,2025-12-02T17:24:45.13093009Z,E,5.3,5.3,5.3,1.0,5.3,2025-12-02T17:24:00Z,1.0,5.3,4.94,4.99,4.9,4.0,4.99,2025-11-26T05:00:00Z,12.0,4.954167
BTC280121P00031000,0.5842,-0.2095,0.0084,-0.3187,-0.005,0.1682,8.64,33,A,4.52,33,S,A,2025-12-05T14:46:52.766713527Z,2028-01-21,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115C00026000,0.589,0.8571,0.0091,0.1872,-0.0085,0.0953,19.07,24,A,15.93,27,A,A,2025-12-05T14:45:54.137839531Z,2027-01-15,26000,17.5,17.5,17.5,2.0,17.5,2025-11-19T05:00:00Z,24.0,17.5,I,17.5,12.0,2025-11-19T20:20:52.085173645Z,N,17.5,17.5,17.5,2.0,17.5,2025-11-19T20:20:00Z,24.0,17.5,24.66,24.66,24.66,1.0,24.66,2025-10-30T04:00:00Z,5.0,24.66
BTC251219P00068000,,,,,,,29.62,31,U,26.68,27,U,A,2025-12-05T14:45:03.142293793Z,2025-12-19,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
