symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC251121C00045000,,,,,,,0.03,0.03,0.03,1.0,0.03,2025-11-20T05:00:00Z,1.0,0.03,0.03,27,I,0.0,0,?, ,2025-11-20T16:05:09.473116198Z,I,0.03,1.0,2025-11-20T14:54:57.227591818Z,Q,0.03,0.03,0.03,1.0,0.03,2025-11-20T14:54:00Z,1.0,0.03,0.03,0.03,0.03,1.0,0.03,2025-11-19T05:00:00Z,1.0,0.03,2025-11-21,45000
BTC260320C00057000,0.5885,0.1647,0.0192,0.0175,-0.0139,0.0544,2.6,2.6,2.6,1.0,2.6,2025-11-05T05:00:00Z,2.0,2.6,1.43,354,A,0.52,6,U,A,2025-11-20T19:53:01.489104476Z,f,2.6,2.0,2025-11-05T16:00:11.00441389Z,J,2.6,2.6,2.6,1.0,2.6,2025-11-05T16:00:00Z,2.0,2.6,5.18,5.18,5.18,1.0,5.18,2025-10-13T04:00:00Z,3.0,5.18,2026-03-20,57000
BTC280121C00030000,0.6206,0.7886,0.0083,0.2758,-0.0075,0.1631,18.0,18.4,17.8,15.0,18.4,2025-11-19T05:00:00Z,45.0,18.137778,19.59,33,A,15.33,13,U,A,2025-11-20T19:52:50.508332888Z,I,18.0,1.0,2025-11-19T20:49:55.432662537Z,W,18.0,18.2,17.9,6.0,17.9,2025-11-19T20:49:00Z,6.0,18.05,19.18,20.2,19.18,2.0,20.2,2025-11-17T05:00:00Z,3.0,19.86,2028-01-21,30000
BTC251121P00052000,,,,,,,11.2,11.2,11.2,1.0,11.2,2025-11-18T05:00:00Z,5.0,11.2,14.12,58,B,12.49,43,X, ,2025-11-20T19:53:08.472298208Z,I,11.11,5.0,2025-11-18T15:45:32.856651201Z,N,11.2,11.2,11.2,1.0,11.2,2025-11-18T15:45:00Z,5.0,11.2,10.26,10.26,10.26,1.0,10.26,2025-11-17T05:00:00Z,3.0,10.26,2025-11-21,52000
BTC260116C00060000,0.7442,0.0866,0.014,0.0045,-0.0159,0.0239,0.42,0.42,0.42,1.0,0.42,2025-11-19T05:00:00Z,10.0,0.42,0.72,632,A,0.08,35,P, ,2025-11-20T19:47:29.319902143Z,f,0.42,10.0,2025-11-19T18:06:04.652822511Z,W,0.42,0.42,0.42,1.0,0.42,2025-11-19T18:06:00Z,10.0,0.42,0.3,0.5,0.24,4.0,0.24,2025-11-18T05:00:00Z,11.0,0.361818,2026-01-16,60000
BTC251219C00060000,0.7778,0.0269,0.0074,0.0008,-0.0091,0.0067,0.11,0.11,0.06,3.0,0.06,2025-11-20T05:00:00Z,9.0,0.104444,0.13,2,I,0.03,1,C,B,2025-11-20T19:45:48.206452865Z,a,0.11,4.0,2025-11-20T16:16:34.265928755Z,E,0.11,0.11,0.11,2.0,0.11,2025-11-20T16:16:00Z,8.0,0.11,0.1,0.1,0.1,2.0,0.1,2025-11-19T05:00:00Z,4.0,0.1,2025-12-19,60000
BTC270115C00050000,0.5662,0.4721,0.0171,0.1379,-0.0121,0.1635,6.9,6.94,6.9,3.0,6.94,2025-11-20T05:00:00Z,3.0,6.926667,6.88,62,A,5.34,66,A,A,2025-11-20T19:53:07.394117654Z,I,6.9,1.0,2025-11-20T15:44:08.073394412Z,P,6.9,6.9,6.9,1.0,6.9,2025-11-20T15:44:00Z,1.0,6.9,6.57,6.57,6.56,2.0,6.56,2025-11-19T05:00:00Z,2.0,6.565,2027-01-15,50000
BTC270115P00039000,0.4537,-0.3871,0.0205,-0.2504,-0.0064,0.1573,6.13,6.13,5.5,2.0,5.5,2025-11-04T05:00:00Z,2.0,5.815,8.27,12,E,5.52,17,U,A,2025-11-20T19:45:48.206191234Z,a,6.13,1.0,2025-11-04T17:13:44.553372565Z,X,6.13,6.13,6.13,1.0,6.13,2025-11-04T17:13:00Z,1.0,6.13,6.9,6.9,6.9,1.0,6.9,2025-10-17T04:00:00Z,1.0,6.9,2027-01-15,39000
BTC251219C00032000,0.8629,0.8076,0.0294,0.0186,-0.0464,0.0295,,,,,,,,,8.25,811,X,6.7,164,A, ,2025-11-20T19:53:00.989277351Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,32000
BTC270115P00054000,0.5151,-0.6078,0.0182,-0.4761,-0.0057,0.1579,,,,,,,,,20.0,10,U,16.05,15,S, ,2025-11-20T19:50:13.531408493Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,54000
BTC260116C00061000,,,,,,,0.15,0.15,0.15,1.0,0.15,2025-11-19T05:00:00Z,5.0,0.15,0.73,699,A,0.0,0,?,A,2025-11-20T19:45:48.226833989Z,I,0.15,5.0,2025-11-19T14:49:37.005168862Z,U,0.15,0.15,0.15,1.0,0.15,2025-11-19T14:49:00Z,5.0,0.15,0.57,0.57,0.57,2.0,0.57,2025-11-12T05:00:00Z,91.0,0.57,2026-01-16,61000
BTC280121C00060000,0.588,0.4985,0.012,0.2329,-0.0093,0.2248,7.4,7.4,7.4,1.0,7.4,2025-11-19T05:00:00Z,6.0,7.4,9.42,63,A,7.26,26,P,A,2025-11-20T19:52:52.563420346Z,I,7.46,6.0,2025-11-19T20:51:54.307382739Z,M,7.4,7.4,7.4,1.0,7.4,2025-11-19T20:51:00Z,6.0,7.4,9.0,9.0,9.0,1.0,9.0,2025-11-18T05:00:00Z,10.0,9.0,2028-01-21,60000
BTC280121P00050000,0.5485,-0.4359,0.0127,-0.7484,-0.0046,0.2219,16.68,16.68,16.68,1.0,16.68,2025-11-19T05:00:00Z,10.0,16.68,19.77,38,A,15.86,25,P,A,2025-11-20T19:52:45.901527751Z,f,16.68,10.0,2025-11-19T14:30:35.85372211Z,A,16.68,16.68,16.68,1.0,16.68,2025-11-19T14:30:00Z,10.0,16.68,14.4,14.8,14.4,2.0,14.8,2025-11-07T05:00:00Z,20.0,14.6,2028-01-21,50000
BTC251219C00080000,,,,,,,0.55,0.55,0.55,14.0,0.55,2025-11-03T05:00:00Z,14.0,0.55,0.07,5,I,0.0,0,?, ,2025-11-20T16:10:39.59074713Z,I,0.55,1.0,2025-11-03T14:48:33.646065293Z,T,0.55,0.55,0.55,14.0,0.55,2025-11-03T14:48:00Z,14.0,0.55,0.53,0.53,0.53,1.0,0.53,2025-10-09T04:00:00Z,6.0,0.53,2025-12-19,80000
BTC251121P00038000,0.687,-0.4166,0.2836,-0.0004,-0.2666,0.0078,0.5,0.6,0.3,8.0,0.6,2025-11-20T05:00:00Z,12.0,0.485833,0.57,4,P,0.28,20,P, ,2025-11-20T19:40:07.001755428Z,I,0.5,1.0,2025-11-20T19:23:28.116638725Z,I,0.5,0.5,0.5,1.0,0.5,2025-11-20T19:23:00Z,1.0,0.5,0.35,1.0,0.35,4.0,1.0,2025-11-19T05:00:00Z,4.0,0.5675,2025-11-21,38000
BTC260116C00048000,0.5313,0.172,0.0317,0.0092,-0.0186,0.0386,0.75,0.9,0.75,5.0,0.9,2025-11-20T05:00:00Z,8.0,0.815,0.73,22,P,0.62,17,P, ,2025-11-20T19:37:04.342745921Z,I,0.73,2.0,2025-11-20T18:25:01.193103057Z,I,0.75,0.75,0.75,1.0,0.75,2025-11-20T18:25:00Z,2.0,0.75,0.93,1.0,0.9,8.0,1.0,2025-11-19T05:00:00Z,48.0,0.91875,2026-01-16,48000
BTC270115C00033000,0.5702,0.7302,0.0141,0.183,-0.0107,0.1358,,,,,,,,,13.61,13,E,10.54,16,A,A,2025-11-20T19:52:44.200809125Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,33000
BTC251121P00060000,,,,,,,,,,,,,,,21.61,19,U,20.42,38,B, ,2025-11-20T19:45:48.206393618Z,,,,,,,,,,,,,,,,,,,,,,2025-11-21,60000
BTC260618P00046000,0.4703,-0.6094,0.0281,-0.1909,-0.0091,0.1114,,,,,,,,,10.72,12,P,9.02,432,A,A,2025-11-20T19:52:42.526700425Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,46000
BTC270115C00031000,0.5761,0.7625,0.0131,0.1848,-0.0102,0.127,,,,,,,,,14.54,76,A,11.76,64,A,A,2025-11-20T19:53:07.311581285Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,31000
BTC260116C00058000,0.7024,0.0905,0.0153,0.0048,-0.0155,0.0246,0.53,0.53,0.53,1.0,0.53,2025-11-20T05:00:00Z,1.0,0.53,0.77,696,A,0.03,67,B,A,2025-11-20T19:52:11.255799724Z,f,0.53,1.0,2025-11-20T16:05:49.455703118Z,I,0.53,0.53,0.53,1.0,0.53,2025-11-20T16:05:00Z,1.0,0.53,1.62,1.9,1.62,2.0,1.9,2025-10-31T04:00:00Z,6.0,1.666667,2026-01-16,58000
BTC260618C00048000,0.5479,0.3874,0.0241,0.0653,-0.0157,0.1111,5.19,5.19,5.19,1.0,5.19,2025-11-14T05:00:00Z,1.0,5.19,4.84,375,A,2.12,448,A,A,2025-11-20T19:52:47.929157142Z,g,5.19,1.0,2025-11-14T18:44:13.208029792Z,E,5.19,5.19,5.19,1.0,5.19,2025-11-14T18:44:00Z,1.0,5.19,6.4,6.4,6.4,1.0,6.4,2025-11-06T05:00:00Z,40.0,6.4,2026-06-18,48000
BTC251121C00058000,,,,,,,0.04,0.04,0.04,1.0,0.04,2025-11-20T05:00:00Z,1.0,0.04,0.08,36,C,0.0,0,?, ,2025-11-20T19:37:04.343563249Z,a,0.04,1.0,2025-11-20T15:37:35.889371924Z,X,0.04,0.04,0.04,1.0,0.04,2025-11-20T15:37:00Z,1.0,0.04,0.02,0.02,0.02,1.0,0.02,2025-11-14T05:00:00Z,5.0,0.02,2025-11-21,58000
BTC260320P00067000,0.6727,-0.8901,0.0127,-0.2059,-0.005,0.0412,,,,,,,,,29.48,24,X,27.66,20,E, ,2025-11-20T19:52:31.639044493Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,67000
BTC270115P00033000,0.4699,-0.266,0.017,-0.1653,-0.0062,0.1348,,,,,,,,,5.65,13,E,2.66,13,E,A,2025-11-20T19:50:30.783977882Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,33000
BTC260320C00051000,0.5826,0.2561,0.0252,0.0267,-0.018,0.0706,1.73,1.73,1.73,1.0,1.73,2025-11-20T05:00:00Z,2.0,1.73,2.13,552,A,1.23,31,P,A,2025-11-20T19:52:30.317912287Z,a,1.73,2.0,2025-11-20T14:49:14.561376704Z,X,1.73,1.73,1.73,1.0,1.73,2025-11-20T14:49:00Z,2.0,1.73,2.0,2.0,2.0,1.0,2.0,2025-11-17T05:00:00Z,2.0,2.0,2026-03-20,51000
BTC251219P00042000,0.5354,-0.6991,0.0603,-0.0249,-0.0313,0.0375,4.45,4.45,3.95,3.0,3.95,2025-11-20T05:00:00Z,3.0,4.24,4.88,84,X,4.38,52,P,A,2025-11-20T19:49:54.355249524Z,I,4.45,1.0,2025-11-20T18:33:14.667524684Z,Z,4.45,4.45,4.45,1.0,4.45,2025-11-20T18:33:00Z,1.0,4.45,3.2,3.2,2.96,3.0,3.1,2025-11-19T05:00:00Z,4.0,3.115,2025-12-19,42000
BTC260116P00035000,0.5091,-0.2831,0.044,-0.0193,-0.0215,0.0512,1.42,1.42,0.94,2.0,0.94,2025-11-20T05:00:00Z,2.0,1.18,2.14,96,A,0.88,813,X,A,2025-11-20T19:52:53.265617227Z,g,1.42,1.0,2025-11-20T17:31:59.596780014Z,A,1.42,1.42,1.42,1.0,1.42,2025-11-20T17:31:00Z,1.0,1.42,1.6,1.6,1.2,3.0,1.2,2025-11-19T05:00:00Z,7.0,1.45,2026-01-16,35000
BTC260320P00059000,0.4776,-0.919,0.0143,-0.1825,-0.0007,0.0329,,,,,,,,,21.44,17,U,19.25,31,B, ,2025-11-20T19:45:48.208550158Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,59000
BTC260618C00054000,0.5751,0.3007,0.0209,0.0513,-0.0147,0.101,,,,,,,,,3.38,373,A,1.78,115,B,A,2025-11-20T19:52:29.094893266Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,54000
BTC270115P00061000,0.5635,-0.6561,0.0159,-0.5697,-0.0054,0.1512,,,,,,,,,26.83,13,E,21.76,13,E,A,2025-11-20T19:52:26.34156401Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,61000
BTC251219C00020000,,,,,,,28.0,28.0,28.0,1.0,28.0,2025-10-22T04:00:00Z,1.0,28.0,20.01,279,A,16.68,42,A,A,2025-11-20T19:52:50.314525981Z,I,28.0,1.0,2025-10-22T14:49:04.497323929Z,H,28.0,28.0,28.0,1.0,28.0,2025-10-22T14:49:00Z,1.0,28.0,,,,,,,,,2025-12-19,20000
BTC251219C00059000,1.0196,0.0881,0.0145,0.0024,-0.0306,0.0172,0.35,0.35,0.35,1.0,0.35,2025-11-19T05:00:00Z,1.0,0.35,0.77,647,A,0.03,1,X,A,2025-11-20T19:42:14.620472235Z,f,0.35,1.0,2025-11-19T20:50:49.153384594Z,X,0.35,0.35,0.35,1.0,0.35,2025-11-19T20:50:00Z,1.0,0.35,0.1,0.15,0.1,2.0,0.15,2025-11-13T05:00:00Z,26.0,0.148077,2025-12-19,59000
BTC270115C00075000,0.6299,0.2752,0.0129,0.0842,-0.011,0.1372,5.75,5.75,5.75,1.0,5.75,2025-10-17T04:00:00Z,1.0,5.75,4.98,41,A,1.47,11,U,A,2025-11-20T19:52:11.604986227Z,a,5.75,1.0,2025-10-17T18:07:36.919124739Z,C,5.75,5.75,5.75,1.0,5.75,2025-10-17T18:07:00Z,1.0,5.75,6.2,6.2,6.2,1.0,6.2,2025-10-14T04:00:00Z,5.0,6.2,2027-01-15,75000
BTC260618P00053000,0.5096,-0.7238,0.0226,-0.2497,-0.0073,0.097,,,,,,,,,16.64,36,B,14.77,28,E, ,2025-11-20T19:37:04.344644447Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,53000
BTC260320P00070000,0.6198,-0.9315,0.0097,-0.2198,-0.0004,0.029,27.1,27.1,27.1,1.0,27.1,2025-11-14T05:00:00Z,5.0,27.1,32.52,20,E,29.92,20,E, ,2025-11-20T19:46:10.667122215Z,a,27.1,5.0,2025-11-14T17:15:27.150361791Z,X,27.1,27.1,27.1,1.0,27.1,2025-11-14T17:15:00Z,5.0,27.1,22.85,22.85,22.85,1.0,22.85,2025-10-30T04:00:00Z,5.0,22.85,2026-03-20,70000
BTC260618C00030000,0.6229,0.7871,0.0161,0.1059,-0.0144,0.0843,20.32,20.32,20.32,1.0,20.32,2025-10-30T04:00:00Z,1.0,20.32,13.15,373,C,10.26,411,A,A,2025-11-20T19:51:53.952780215Z,f,20.32,1.0,2025-10-30T13:30:21.601195709Z,I,20.32,20.32,20.32,1.0,20.32,2025-10-30T13:30:00Z,1.0,20.32,,,,,,,,,2026-06-18,30000
BTC251121C00050000,,,,,,,0.02,0.03,0.02,2.0,0.03,2025-11-20T05:00:00Z,15.0,0.023333,0.03,3,U,0.0,0,?,O,2025-11-20T17:22:54.788512155Z,a,0.02,10.0,2025-11-20T16:47:29.387107452Z,E,0.02,0.02,0.02,1.0,0.02,2025-11-20T16:47:00Z,10.0,0.02,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,2025-11-21,50000
BTC260320C00044000,0.617,0.4276,0.029,0.0423,-0.0235,0.0861,6.15,6.25,6.15,2.0,6.25,2025-11-13T05:00:00Z,4.0,6.2,4.32,804,X,2.69,39,N,A,2025-11-20T19:53:02.757200364Z,f,6.15,2.0,2025-11-13T19:13:21.09303644Z,M,6.15,6.15,6.15,1.0,6.15,2025-11-13T19:13:00Z,2.0,6.15,6.67,6.67,6.67,1.0,6.67,2025-11-12T05:00:00Z,1.0,6.67,2026-03-20,44000
BTC260116P00038000,0.487,-0.4351,0.0535,-0.0302,-0.0234,0.0595,3.19,3.19,2.06,2.0,2.06,2025-11-20T05:00:00Z,2.0,2.625,3.28,77,A,2.07,808,X,A,2025-11-20T19:53:06.706389449Z,f,3.08,1.0,2025-11-20T17:37:20.182014401Z,W,3.19,3.19,3.19,1.0,3.19,2025-11-20T17:37:00Z,1.0,3.19,,,,,,,,,2026-01-16,38000
BTC251219C00074000,,,,,,,0.6,0.6,0.6,1.0,0.6,2025-10-10T04:00:00Z,2.0,0.6,0.73,450,A,0.0,0,?,A,2025-11-20T19:45:48.222309069Z,I,0.6,2.0,2025-10-10T18:03:06.748964128Z,A,0.6,0.6,0.6,1.0,0.6,2025-10-10T18:03:00Z,2.0,0.6,0.7,0.7,0.7,1.0,0.7,2025-10-02T04:00:00Z,2.0,0.7,2025-12-19,74000
BTC260618P00042000,0.4653,-0.5107,0.0295,-0.1532,-0.0101,0.1157,7.09,7.09,7.09,1.0,7.09,2025-11-19T05:00:00Z,1.0,7.09,8.15,75,N,6.04,700,X,A,2025-11-20T19:52:48.883234213Z,g,7.09,1.0,2025-11-19T18:14:44.831107005Z,C,7.09,7.09,7.09,1.0,7.09,2025-11-19T18:14:00Z,1.0,7.09,,,,,,,,,2026-06-18,42000
BTC270115P00043000,0.4867,-0.4543,0.0198,-0.3136,-0.0068,0.1628,7.57,7.57,7.57,1.0,7.57,2025-11-05T05:00:00Z,3.0,7.57,11.45,12,S,8.17,15,A,A,2025-11-20T19:52:30.755459241Z,a,7.57,3.0,2025-11-05T17:31:16.450385594Z,I,7.57,7.57,7.57,1.0,7.57,2025-11-05T17:31:00Z,3.0,7.57,,,,,,,,,2027-01-15,43000
BTC270115P00045000,0.4854,-0.4894,0.02,-0.3438,-0.0066,0.1639,8.08,8.08,8.08,1.0,8.08,2025-11-03T05:00:00Z,1.0,8.08,12.69,27,P,9.48,36,A,A,2025-11-20T19:52:55.16491049Z,a,8.08,1.0,2025-11-03T14:47:45.359363414Z,X,8.08,8.08,8.08,1.0,8.08,2025-11-03T14:47:00Z,1.0,8.08,9.0,9.0,9.0,1.0,9.0,2025-10-16T04:00:00Z,1.0,9.0,2027-01-15,45000
BTC251219P00053000,0.3721,-0.9988,0.001,-0.0419,0.0054,0.0004,5.95,5.95,5.95,1.0,5.95,2025-10-15T04:00:00Z,1.0,5.95,15.57,20,A,13.58,21,Z,A,2025-11-20T19:52:59.561810045Z,g,5.95,1.0,2025-10-15T14:11:29.571421213Z,A,5.95,5.95,5.95,1.0,5.95,2025-10-15T14:11:00Z,1.0,5.95,4.8,4.8,4.8,1.0,4.8,2025-10-10T04:00:00Z,1.0,4.8,2025-12-19,53000
BTC260618P00025000,,,,,,,1.05,1.05,1.05,1.0,1.05,2025-11-19T05:00:00Z,1.0,1.05,1.48,39,A,0.0,0,?,A,2025-11-20T19:53:00.891563741Z,I,1.07,1.0,2025-11-19T19:50:35.849553788Z,I,1.05,1.05,1.05,1.0,1.05,2025-11-19T19:50:00Z,1.0,1.05,,,,,,,,,2026-06-18,25000
BTC251219P00031000,0.6459,-0.1031,0.0258,-0.0034,-0.0211,0.0194,,,,,,,,,0.47,10,B,0.27,12,E,A,2025-11-20T19:53:01.924391014Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,31000
BTC251121P00051000,,,,,,,5.8,6.1,5.8,3.0,6.1,2025-11-07T05:00:00Z,7.0,5.842857,12.76,19,U,11.25,43,B, ,2025-11-20T19:45:48.206177963Z,I,5.8,1.0,2025-11-07T19:05:20.251610382Z,A,5.8,5.8,5.8,1.0,5.8,2025-11-07T19:05:00Z,1.0,5.8,6.9,6.9,5.49,2.0,5.49,2025-11-04T05:00:00Z,2.0,6.195,2025-11-21,51000
BTC260320C00030000,0.7207,0.7955,0.0179,0.0643,-0.0207,0.0622,11.58,11.58,11.58,1.0,11.58,2025-11-19T05:00:00Z,1.0,11.58,11.82,747,A,9.95,32,P,A,2025-11-20T19:53:07.638764233Z,f,11.58,1.0,2025-11-19T20:50:39.439991116Z,M,11.58,11.58,11.58,1.0,11.58,2025-11-19T20:50:00Z,1.0,11.58,13.0,13.0,13.0,1.0,13.0,2025-11-18T05:00:00Z,1.0,13.0,2026-03-20,30000
BTC251219P00059000,,,,,,,,,,,,,,,21.35,16,X,19.21,20,B,A,2025-11-20T19:53:03.980075463Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,59000
BTC251219C00067000,,,,,,,,,,,,,,,0.73,458,A,0.0,0,?,A,2025-11-20T19:45:48.22156796Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,67000
BTC280121P00025000,0.5259,-0.1517,0.0079,-0.2018,-0.0036,0.1324,3.58,3.58,3.58,2.0,3.58,2025-11-20T05:00:00Z,5.0,3.58,4.96,20,U,2.029,27,P, ,2025-11-20T19:37:04.342199535Z,g,3.58,3.0,2025-11-20T18:17:42.554245911Z,C,3.58,3.58,3.58,2.0,3.58,2025-11-20T18:17:00Z,5.0,3.58,4.0,4.0,3.62,2.0,3.62,2025-11-19T05:00:00Z,2.0,3.81,2028-01-21,25000
BTC260618C00050000,0.5832,0.3688,0.0223,0.0615,-0.0163,0.1095,3.75,3.85,3.75,2.0,3.85,2025-11-17T05:00:00Z,9.0,3.805556,4.37,374,A,2.47,22,U,A,2025-11-20T19:52:55.858247884Z,a,3.75,4.0,2025-11-17T19:52:38.512352807Z,X,3.75,3.75,3.75,1.0,3.75,2025-11-17T19:52:00Z,4.0,3.75,6.0,6.0,6.0,1.0,6.0,2025-11-13T05:00:00Z,1.0,6.0,2026-06-18,50000
BTC270115C00064000,0.5875,0.3314,0.015,0.1014,-0.0112,0.1491,,,,,,,,,4.93,64,A,2.85,36,A,A,2025-11-20T19:51:56.465874243Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,64000
BTC251121C00040000,0.7964,0.1484,0.1451,0.0002,-0.1852,0.0046,0.08,0.6,0.08,17.0,0.6,2025-11-20T05:00:00Z,208.0,0.255433,0.17,28,P,0.07,30,P, ,2025-11-20T19:37:04.343498356Z,g,0.08,1.0,2025-11-20T19:10:12.155695237Z,A,0.08,0.08,0.08,1.0,0.08,2025-11-20T19:10:00Z,1.0,0.08,0.55,0.8,0.15,16.0,0.8,2025-11-19T05:00:00Z,82.0,0.604634,2025-11-21,40000
BTC251219P00054000,0.7154,-0.9443,0.0146,-0.0412,-0.0093,0.0121,11.65,11.65,11.54,2.0,11.54,2025-11-14T05:00:00Z,11.0,11.64,16.98,21,E,14.5,20,B,A,2025-11-20T19:53:04.870473047Z,f,11.65,10.0,2025-11-14T16:40:33.544455445Z,W,11.65,11.65,11.65,1.0,11.65,2025-11-14T16:40:00Z,10.0,11.65,8.0,8.0,8.0,1.0,8.0,2025-11-03T05:00:00Z,1.0,8.0,2025-12-19,54000
