symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251219P00065000,26.16,13,Z,24.07,20,B, ,2025-11-19T19:00:05.195792414Z,2025-12-19,65000,15.22,15.22,15.22,1.0,15.22,2025-09-23T04:00:00Z,1.0,15.22,n,15.31,1.0,2025-09-23T13:30:01.650949672Z,C,15.22,15.22,15.22,1.0,15.22,2025-09-23T13:30:00Z,1.0,15.22,,,,,,,,,,,,,,
BTC280121P00035000,10.48,3,A,6.04,11,E,A,2025-11-19T19:03:37.817102468Z,2028-01-21,35000,7.6,7.6,7.6,1.0,7.6,2025-11-17T05:00:00Z,50.0,7.6,a,7.6,50.0,2025-11-17T17:49:55.119371466Z,X,7.6,7.6,7.6,1.0,7.6,2025-11-17T17:49:00Z,50.0,7.6,5.0,5.0,5.0,1.0,5.0,2025-09-23T04:00:00Z,1.0,5.0,0.5529,-0.2606,0.0101,-0.4027,-0.0049,0.1888
BTC251219P00061000,22.88,17,Z,19.44,21,Z, ,2025-11-19T18:27:59.420538224Z,2025-12-19,61000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320P00051000,13.2,15,E,10.8,47,B, ,2025-11-19T19:01:42.746314798Z,2026-03-20,51000,6.7,6.7,6.0,3.0,6.0,2025-10-13T04:00:00Z,13.0,6.646154,g,6.7,10.0,2025-10-13T15:57:47.551149567Z,C,6.7,6.7,6.7,1.0,6.7,2025-10-13T15:57:00Z,10.0,6.7,5.5,5.5,5.5,1.0,5.5,2025-10-09T04:00:00Z,13.0,5.5,0.4527,-0.7902,0.028,-0.1431,-0.0077,0.0654
BTC270115C00039000,12.46,33,A,8.78,19,U,A,2025-11-19T19:03:44.260995148Z,2027-01-15,39000,21.84,21.84,21.84,1.0,21.84,2025-10-03T04:00:00Z,5.0,21.84,a,21.84,5.0,2025-10-03T19:52:09.0333835Z,X,21.84,21.84,21.84,1.0,21.84,2025-10-03T19:52:00Z,5.0,21.84,18.59,18.59,18.59,1.0,18.59,2025-09-17T04:00:00Z,5.0,18.59,0.592,0.655,0.0147,0.1759,-0.0124,0.1562
BTC260116C00035000,6.91,307,A,5.95,23,U,A,2025-11-19T19:03:45.866188004Z,2026-01-16,35000,6.8,7.3,6.8,2.0,7.3,2025-11-19T05:00:00Z,2.0,7.05,I,6.8,1.0,2025-11-19T15:34:17.110245162Z,U,6.8,6.8,6.8,1.0,6.8,2025-11-19T15:34:00Z,1.0,6.8,7.51,7.51,7.51,1.0,7.51,2025-11-18T05:00:00Z,5.0,7.51,0.6187,0.7365,0.0336,0.0359,-0.0298,0.0513
BTC251219C00068000,0.77,319,A,0.0,0,?,A,2025-11-19T19:00:40.530680352Z,2025-12-19,68000,1.15,1.15,1.15,1.0,1.15,2025-10-08T04:00:00Z,1.0,1.15,I,1.28,1.0,2025-10-08T17:23:12.766813999Z,E,1.15,1.15,1.15,1.0,1.15,2025-10-08T17:23:00Z,1.0,1.15,,,,,,,,,,,,,,
BTC260320C00052000,2.07,240,A,0.52,682,X,A,2025-11-19T19:03:41.601350499Z,2026-03-20,52000,1.5,1.5,1.5,1.0,1.5,2025-11-19T05:00:00Z,1.0,1.5,I,1.5,1.0,2025-11-19T17:37:44.04206604Z,A,1.5,1.5,1.5,1.0,1.5,2025-11-19T17:37:00Z,1.0,1.5,2.25,2.25,2.25,1.0,2.25,2025-11-14T05:00:00Z,5.0,2.25,0.506,0.2237,0.026,0.025,-0.015,0.0679
BTC260320P00025000,0.72,23,U,0.22,642,A,A,2025-11-19T19:03:46.277914744Z,2026-03-20,25000,0.56,0.9,0.56,3.0,0.9,2025-11-19T05:00:00Z,15.0,0.703333,a,0.56,5.0,2025-11-19T15:40:52.607541316Z,C,0.56,0.56,0.56,1.0,0.56,2025-11-19T15:40:00Z,5.0,0.56,0.47,0.5,0.47,3.0,0.5,2025-11-17T05:00:00Z,3.0,0.48,0.6139,-0.0665,0.0093,-0.0102,-0.0071,0.0293
BTC251219P00068000,29.32,17,Z,27.3,20,B,A,2025-11-19T19:03:50.500911647Z,2025-12-19,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00048000,18.15,3,A,13.52,12,E,A,2025-11-19T19:03:49.215041875Z,2028-01-21,48000,13.6,13.6,13.6,1.0,13.6,2025-10-22T04:00:00Z,2.0,13.6,I,13.6,2.0,2025-10-22T16:06:50.110911821Z,I,13.6,13.6,13.6,1.0,13.6,2025-10-22T16:06:00Z,2.0,13.6,,,,,,,,,0.5419,-0.4041,0.0123,-0.6903,-0.0048,0.2252
BTC280121P00044000,15.36,1,A,10.91,13,S, ,2025-11-19T19:02:26.57759713Z,2028-01-21,44000,11.25,11.25,11.25,1.0,11.25,2025-11-04T05:00:00Z,1.0,11.25,f,11.25,1.0,2025-11-04T19:04:30.563671391Z,I,11.25,11.25,11.25,1.0,11.25,2025-11-04T19:04:00Z,1.0,11.25,,,,,,,,,0.5363,-0.3643,0.012,-0.5975,-0.0049,0.2184
BTC270115P00065000,28.12,21,E,24.95,16,E,A,2025-11-19T19:02:46.97838334Z,2027-01-15,65000,18.53,18.53,18.53,1.0,18.53,2025-10-10T04:00:00Z,1.0,18.53,f,18.53,1.0,2025-10-10T15:31:47.560211828Z,W,18.53,18.53,18.53,1.0,18.53,2025-10-10T15:31:00Z,1.0,18.53,21.8,22.1,21.8,8.0,22.03,2025-07-07T04:00:00Z,150.0,21.925733,0.5466,-0.6872,0.0153,-0.6201,-0.0046,0.1502
BTC260320C00068000,0.78,141,B,0.07,14,E,A,2025-11-19T19:02:38.551009672Z,2026-03-20,68000,2.0,2.0,2.0,1.0,2.0,2025-10-16T04:00:00Z,1.0,2.0,I,2.0,1.0,2025-10-16T15:43:42.665324873Z,I,2.0,2.0,2.0,1.0,2.0,2025-10-16T15:43:00Z,1.0,2.0,3.1,3.1,3.1,1.0,3.1,2025-10-10T04:00:00Z,1.0,3.1,0.587,0.08,0.0112,0.009,-0.0085,0.0338
BTC270115C00069000,4.85,39,A,2.07,22,U,A,2025-11-19T19:02:22.540229959Z,2027-01-15,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5763,0.2987,0.0142,0.0962,-0.0108,0.1472
BTC260320P00050000,12.5,81,A,10.5,47,E,A,2025-11-19T19:03:36.638727915Z,2026-03-20,50000,7.35,7.35,7.35,1.0,7.35,2025-11-12T05:00:00Z,2.0,7.35,g,7.35,2.0,2025-11-12T18:13:46.487345604Z,C,7.35,7.35,7.35,1.0,7.35,2025-11-12T18:13:00Z,2.0,7.35,7.01,7.01,7.01,1.0,7.01,2025-11-10T05:00:00Z,2.0,7.01,0.4998,-0.7378,0.0287,-0.1346,-0.011,0.074
BTC260320P00072000,32.92,16,Z,31.0,15,X, ,2025-11-19T18:59:55.390674595Z,2026-03-20,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5933,-0.9399,0.0089,-0.2288,0.0006,0.0271
BTC260116C00075000,0.77,316,A,0.03,37,U,A,2025-11-19T19:02:05.74036936Z,2026-01-16,75000,0.55,0.55,0.55,1.0,0.55,2025-11-13T05:00:00Z,1.0,0.55,I,0.55,1.0,2025-11-13T18:52:44.758002008Z,B,0.55,0.55,0.55,1.0,0.55,2025-11-13T18:52:00Z,1.0,0.55,0.37,0.37,0.37,1.0,0.37,2025-11-07T05:00:00Z,10.0,0.37,,,,,,
BTC270115P00062000,26.47,13,E,21.95,12,E,A,2025-11-19T19:03:10.244418361Z,2027-01-15,62000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5546,-0.6529,0.0157,-0.5776,-0.0055,0.1566
BTC260116P00050000,11.45,51,C,9.33,51,B,A,2025-11-19T19:01:42.806397647Z,2026-01-16,50000,9.38,9.46,9.38,2.0,9.46,2025-11-18T05:00:00Z,2.0,9.42,f,9.38,1.0,2025-11-18T18:01:40.874395653Z,X,9.38,9.46,9.38,2.0,9.46,2025-11-18T18:01:00Z,2.0,9.42,6.92,6.92,6.92,1.0,6.92,2025-11-07T05:00:00Z,10.0,6.92,0.3573,-0.9395,0.0213,-0.0754,-0.0007,0.0188
BTC251219P00048000,9.11,24,U,7.14,44,E,A,2025-11-19T19:03:48.629932386Z,2025-12-19,48000,4.4,4.4,4.4,1.0,4.4,2025-11-05T05:00:00Z,1.0,4.4,g,4.4,1.0,2025-11-05T17:00:36.894509636Z,A,4.4,4.4,4.4,1.0,4.4,2025-11-05T17:00:00Z,1.0,4.4,4.67,4.67,4.2,2.0,4.2,2025-11-04T05:00:00Z,2.0,4.435,,,,,,
BTC251219C00044000,0.93,11,U,0.78,16,E,A,2025-11-19T19:03:13.334894428Z,2025-12-19,44000,0.81,0.9,0.81,2.0,0.9,2025-11-19T05:00:00Z,2.0,0.855,g,0.81,1.0,2025-11-19T18:32:24.403201034Z,C,0.81,0.81,0.81,1.0,0.81,2025-11-19T18:32:00Z,1.0,0.81,1.42,1.42,1.2,10.0,1.2,2025-11-18T05:00:00Z,22.0,1.369091,0.5169,0.2603,0.0555,0.0077,-0.0326,0.0367
BTC251219P00045000,6.27,23,U,5.67,252,A,A,2025-11-19T19:03:47.985326188Z,2025-12-19,45000,5.8,5.9,5.8,7.0,5.9,2025-11-19T05:00:00Z,28.0,5.871429,I,5.8,1.0,2025-11-19T16:42:35.688919312Z,U,5.8,5.8,5.8,6.0,5.8,2025-11-19T16:42:00Z,8.0,5.8,4.41,5.1,4.41,4.0,5.1,2025-11-18T05:00:00Z,4.0,4.755,0.4837,-0.8047,0.0505,-0.031,-0.0211,0.0312
BTC251219C00059000,0.72,532,A,0.07,1,U,A,2025-11-19T19:02:00.890111931Z,2025-12-19,59000,0.1,0.15,0.1,2.0,0.15,2025-11-13T05:00:00Z,26.0,0.148077,a,0.12,1.0,2025-11-13T19:30:05.314361162Z,X,0.1,0.1,0.1,1.0,0.1,2025-11-13T19:30:00Z,1.0,0.1,0.65,0.65,0.65,1.0,0.65,2025-10-30T04:00:00Z,4.0,0.65,0.941,0.0891,0.0152,0.0026,-0.0289,0.0182
BTC260618P00042000,9.07,577,X,5.85,566,X, ,2025-11-19T19:01:42.771369439Z,2026-06-18,42000,7.09,7.09,7.09,1.0,7.09,2025-11-19T05:00:00Z,1.0,7.09,g,7.09,1.0,2025-11-19T18:14:44.831107005Z,C,7.09,7.09,7.09,1.0,7.09,2025-11-19T18:14:00Z,1.0,7.09,,,,,,,,,0.5436,-0.4576,0.0243,-0.1475,-0.0127,0.119
BTC251219P00063000,24.59,16,Z,22.05,20,Z, ,2025-11-19T18:41:24.479879078Z,2025-12-19,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00042000,10.9,11,E,6.98,15,S,A,2025-11-19T19:03:48.997538468Z,2027-01-15,42000,7.2,7.25,7.18,6.0,7.25,2025-10-21T04:00:00Z,76.0,7.191711,f,7.2,5.0,2025-10-21T17:18:17.629279339Z,I,7.2,7.2,7.18,4.0,7.2,2025-10-21T17:18:00Z,40.0,7.183,8.23,8.23,8.23,1.0,8.23,2025-10-17T04:00:00Z,5.0,8.23,0.5014,-0.4101,0.0183,-0.2904,-0.0074,0.1649
BTC251121C00060000,0.03,2,J,0.0,0,?, ,2025-11-19T16:23:24.024180862Z,2025-11-21,60000,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,g,0.03,1.0,2025-11-19T18:41:52.504118725Z,M,0.05,0.05,0.05,1.0,0.05,2025-11-19T18:41:00Z,1.0,0.05,0.01,0.05,0.01,2.0,0.05,2025-11-18T05:00:00Z,7.0,0.015714,,,,,,
BTC251121P00043000,3.82,26,C,3.26,23,U,A,2025-11-19T19:03:52.781501778Z,2025-11-21,43000,3.4,3.4,2.66,3.0,2.67,2025-11-19T05:00:00Z,3.0,2.91,a,3.4,1.0,2025-11-19T18:13:23.782358995Z,X,3.4,3.4,3.4,1.0,3.4,2025-11-19T18:13:00Z,1.0,3.4,1.99,2.81,1.99,9.0,2.5,2025-11-18T05:00:00Z,19.0,2.265263,,,,,,
BTC260116C00059000,0.48,22,U,0.0,0,?, ,2025-11-19T19:01:42.817945693Z,2026-01-16,59000,2.05,2.05,2.05,1.0,2.05,2025-10-23T04:00:00Z,1.0,2.05,a,2.05,1.0,2025-10-23T18:38:24.880703802Z,M,2.05,2.05,2.05,1.0,2.05,2025-10-23T18:38:00Z,1.0,2.05,4.6,4.6,4.45,3.0,4.45,2025-10-06T04:00:00Z,3.0,4.516667,,,,,,
BTC251219C00064000,0.73,306,A,0.0,0,?,A,2025-11-19T19:00:31.330218747Z,2025-12-19,64000,0.35,0.35,0.35,1.0,0.35,2025-11-11T05:00:00Z,10.0,0.35,e,0.35,10.0,2025-11-11T19:41:57.883399685Z,B,0.35,0.35,0.35,1.0,0.35,2025-11-11T19:41:00Z,10.0,0.35,0.25,0.25,0.25,1.0,0.25,2025-10-30T04:00:00Z,2.0,0.25,,,,,,
BTC280121C00059000,11.05,15,U,6.48,14,E,A,2025-11-19T19:03:23.202140485Z,2028-01-21,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5722,0.5115,0.012,0.2478,-0.0094,0.2318
BTC270115C00042000,10.63,24,E,8.65,15,E,A,2025-11-19T19:03:45.905519363Z,2027-01-15,42000,10.2,10.2,9.84,2.0,9.84,2025-11-18T05:00:00Z,3.0,10.08,I,10.07,2.0,2025-11-18T16:07:22.422495327Z,P,10.2,10.2,10.2,1.0,10.2,2025-11-18T16:07:00Z,2.0,10.2,9.5,10.19,9.5,2.0,10.19,2025-11-17T05:00:00Z,3.0,9.73,0.5997,0.613,0.0151,0.1681,-0.0129,0.1624
BTC280121C00043000,14.8,7,P,10.41,13,E,A,2025-11-19T19:03:19.595068595Z,2028-01-21,43000,14.8,15.2,14.8,3.0,15.06,2025-11-14T05:00:00Z,3.0,15.02,I,14.8,1.0,2025-11-14T17:31:20.491397179Z,U,14.8,15.2,14.8,2.0,15.2,2025-11-14T17:31:00Z,2.0,15.0,18.2,18.2,18.2,1.0,18.2,2025-10-17T04:00:00Z,3.0,18.2,0.5683,0.6557,0.0111,0.288,-0.0089,0.214
BTC270115C00057000,7.18,11,E,2.75,12,A,A,2025-11-19T19:03:46.53823227Z,2027-01-15,57000,7.4,7.4,7.4,1.0,7.4,2025-11-07T05:00:00Z,28.0,7.4,I,7.4,28.0,2025-11-07T15:53:02.955632036Z,U,7.4,7.4,7.4,1.0,7.4,2025-11-07T15:53:00Z,28.0,7.4,,,,,,,,,0.5557,0.4011,0.0164,0.1255,-0.0118,0.164
BTC270115C00074000,4.48,14,E,1.38,15,E,A,2025-11-19T19:03:25.85818559Z,2027-01-15,74000,3.01,3.01,3.01,1.0,3.01,2025-11-17T05:00:00Z,2.0,3.01,a,3.01,2.0,2025-11-17T15:18:18.723356109Z,X,3.01,3.01,3.01,1.0,3.01,2025-11-17T15:18:00Z,2.0,3.01,5.2,5.25,5.2,2.0,5.25,2025-09-23T04:00:00Z,3.0,5.216667,0.5777,0.2617,0.0133,0.0855,-0.0101,0.138
BTC251219C00067000,0.73,316,A,0.0,0,?,A,2025-11-19T19:00:40.071054893Z,2025-12-19,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00072000,33.36,15,X,30.36,20,Z, ,2025-11-19T19:02:23.316942435Z,2026-01-16,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618C00043000,6.41,625,X,3.42,622,A, ,2025-11-19T19:02:05.740690058Z,2026-06-18,43000,7.16,7.16,7.16,1.0,7.16,2025-11-14T05:00:00Z,5.0,7.16,a,7.16,5.0,2025-11-14T16:24:18.204368419Z,X,7.16,7.16,7.16,1.0,7.16,2025-11-14T16:24:00Z,5.0,7.16,,,,,,,,,0.5004,0.5078,0.0266,0.0874,-0.0157,0.1196
BTC251121C00042000,0.13,2,U,0.03,21,U, ,2025-11-19T19:00:52.927070088Z,2025-11-21,42000,0.12,0.15,0.05,8.0,0.12,2025-11-19T05:00:00Z,12.0,0.123333,a,0.12,1.0,2025-11-19T18:21:48.337661044Z,C,0.12,0.12,0.12,1.0,0.12,2025-11-19T18:21:00Z,1.0,0.12,0.55,0.65,0.3,23.0,0.35,2025-11-18T05:00:00Z,290.0,0.39869,0.6328,0.0943,0.091,0.0002,-0.0781,0.0049
BTC251219C00037000,5.17,693,X,3.74,19,U, ,2025-11-19T19:02:05.740120202Z,2025-12-19,37000,4.23,4.23,4.23,1.0,4.23,2025-11-19T05:00:00Z,1.0,4.23,g,4.23,1.0,2025-11-19T16:31:42.914063216Z,C,4.23,4.23,4.23,1.0,4.23,2025-11-19T16:31:00Z,1.0,4.23,5.3,5.3,5.3,1.0,5.3,2025-11-18T05:00:00Z,2.0,5.3,0.6895,0.6694,0.0465,0.018,-0.0495,0.041
BTC260320C00044000,4.22,679,X,2.98,23,U, ,2025-11-19T19:02:05.740400106Z,2026-03-20,44000,6.15,6.25,6.15,2.0,6.25,2025-11-13T05:00:00Z,4.0,6.2,f,6.15,2.0,2025-11-13T19:13:21.09303644Z,M,6.15,6.15,6.15,1.0,6.15,2025-11-13T19:13:00Z,2.0,6.15,6.67,6.67,6.67,1.0,6.67,2025-11-12T05:00:00Z,1.0,6.67,0.5667,0.447,0.0307,0.0465,-0.0225,0.0898
BTC260320P00073000,34.72,17,Z,32.24,20,E, ,2025-11-19T19:03:21.564571858Z,2026-03-20,73000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7508,-0.8808,0.0117,-0.2261,-0.0069,0.0452
BTC270115P00054000,18.99,13,E,15.68,16,A, ,2025-11-19T19:00:27.015675345Z,2027-01-15,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,-0.5863,0.0178,-0.4678,-0.0062,0.1652
BTC270115C00080000,3.96,36,A,1.96,18,U,A,2025-11-19T19:02:58.704830908Z,2027-01-15,80000,2.55,2.55,2.4,2.0,2.4,2025-11-18T05:00:00Z,30.0,2.53,a,2.55,26.0,2025-11-18T16:28:55.484373135Z,X,2.55,2.55,2.4,2.0,2.4,2025-11-18T16:28:00Z,30.0,2.53,2.5,2.5,2.5,2.0,2.5,2025-11-17T05:00:00Z,3.0,2.5,0.6209,0.2529,0.0121,0.0811,-0.0106,0.1356
BTC251219C00033000,8.83,609,A,6.76,222,A,A,2025-11-19T19:03:35.68067543Z,2025-12-19,33000,21.38,21.38,21.38,1.0,21.38,2025-08-11T04:00:00Z,10.0,21.38,a,21.38,10.0,2025-08-11T14:37:11.832406388Z,X,21.38,21.38,21.38,1.0,21.38,2025-08-11T14:37:00Z,10.0,21.38,15.85,16.07,15.85,6.0,15.9,2025-05-12T04:00:00Z,10.0,15.965,0.8793,0.8013,0.0281,0.0196,-0.0488,0.0315
BTC260320P00042000,6.15,23,U,4.71,693,X, ,2025-11-19T19:02:05.74040442Z,2026-03-20,42000,5.76,5.76,5.64,2.0,5.64,2025-11-19T05:00:00Z,2.0,5.7,a,5.76,1.0,2025-11-19T15:58:10.882297916Z,B,5.76,5.76,5.76,1.0,5.76,2025-11-19T15:58:00Z,1.0,5.76,5.07,5.07,5.07,1.0,5.07,2025-11-18T05:00:00Z,2.0,5.07,0.4685,-0.5204,0.0374,-0.086,-0.0148,0.0905
BTC260320C00047000,2.83,29,S,2.16,16,E,A,2025-11-19T19:03:13.392646444Z,2026-03-20,47000,2.45,2.45,2.45,1.0,2.45,2025-11-19T05:00:00Z,2.0,2.45,a,2.45,2.0,2025-11-19T17:29:38.073696064Z,E,2.45,2.45,2.45,1.0,2.45,2025-11-19T17:29:00Z,2.0,2.45,2.6,3.8,2.6,11.0,3.8,2025-11-17T05:00:00Z,28.0,3.2,0.5369,0.3551,0.0305,0.0382,-0.02,0.0845
BTC251121P00039000,0.68,15,T,0.53,27,C,A,2025-11-19T19:03:37.458833659Z,2025-11-21,39000,0.65,0.7,0.56,6.0,0.59,2025-11-19T05:00:00Z,8.0,0.6375,I,0.65,1.0,2025-11-19T17:42:42.175818778Z,U,0.65,0.65,0.65,1.0,0.65,2025-11-19T17:42:00Z,1.0,0.65,,,,,,,,,0.6992,-0.4025,0.1896,-0.0009,-0.1957,0.0113
BTC260320C00060000,1.02,27,M,0.68,1,U, ,2025-11-19T19:01:45.36922372Z,2026-03-20,60000,0.8,0.89,0.8,2.0,0.89,2025-11-19T05:00:00Z,105.0,0.885714,I,0.8,5.0,2025-11-19T16:27:45.972750175Z,U,0.8,0.8,0.8,1.0,0.8,2025-11-19T16:27:00Z,5.0,0.8,1.04,1.06,0.9,6.0,0.98,2025-11-17T05:00:00Z,6.0,0.986667,0.5773,0.1451,0.0174,0.0162,-0.0129,0.0518
BTC251219P00080000,40.69,18,Z,39.55,20,B, ,2025-11-19T19:00:05.195797079Z,2025-12-19,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00046000,2.97,19,U,2.37,19,U, ,2025-11-19T19:01:19.570219529Z,2026-03-20,46000,2.95,2.95,2.85,2.0,2.85,2025-11-19T05:00:00Z,10.0,2.9,I,2.95,5.0,2025-11-19T16:56:44.71390412Z,P,2.95,2.95,2.85,2.0,2.85,2025-11-19T16:56:00Z,10.0,2.9,3.5,3.5,3.5,1.0,3.5,2025-11-18T05:00:00Z,5.0,3.5,0.5275,0.3772,0.0317,0.0405,-0.0201,0.0863
BTC270115P00040000,9.45,27,A,6.53,17,U,A,2025-11-19T19:03:45.594969253Z,2027-01-15,40000,7.38,7.38,7.38,1.0,7.38,2025-11-17T05:00:00Z,1.0,7.38,f,7.38,1.0,2025-11-17T17:03:17.032475353Z,M,7.38,7.38,7.38,1.0,7.38,2025-11-17T17:03:00Z,1.0,7.38,6.25,6.25,6.25,1.0,6.25,2025-11-04T05:00:00Z,1.0,6.25,0.5147,-0.3731,0.0173,-0.2625,-0.0076,0.1605
BTC270115C00036000,13.49,11,E,8.93,11,E,A,2025-11-19T19:03:23.575760906Z,2027-01-15,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548,0.6976,0.015,0.1885,-0.0112,0.148
BTC260320P00067000,28.43,31,B,25.58,34,A,A,2025-11-19T19:01:04.835219256Z,2026-03-20,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5314,-0.9379,0.0101,-0.2122,0.0006,0.0278
